timestamp,pm25,pm10,no2,so2,co,temperature,humidity,wind_speed,rainfall,traffic_count,aqi
2026-06-15 20:00:00,42.8,97.25,36.82,9.07,0.72,29.15,57.05,7.99,0.0,18426,182.3
2026-06-15 21:00:00,53.96,95.05,37.38,12.7,0.75,30.74,52.02,8.7,0.26,19231,199.7
2026-06-15 22:00:00,48.6,105.56,33.54,11.36,0.78,32.14,53.1,8.33,0.69,17741,190.0
2026-06-15 23:00:00,51.62,95.49,31.56,12.92,0.87,32.4,46.99,7.34,0.89,20998,195.0
2026-06-16 00:00:00,57.64,96.0,34.7,12.18,0.81,34.38,48.28,8.54,0.36,19040,203.2
2026-06-16 01:00:00,58.88,91.46,33.04,11.29,0.76,33.5,50.89,7.31,1.17,18404,198.1
2026-06-16 02:00:00,54.33,103.14,35.76,13.07,0.85,33.58,44.61,8.69,0.13,15643,201.2
2026-06-16 03:00:00,50.06,95.22,35.49,12.21,0.84,33.32,46.88,8.5,0.02,16214,190.9
2026-06-16 04:00:00,51.62,98.12,32.85,10.21,0.83,32.77,47.65,8.38,0.7,18639,190.7
2026-06-16 05:00:00,53.16,96.11,33.76,9.47,0.71,30.95,46.52,8.32,0.0,18931,193.6
2026-06-16 06:00:00,58.5,94.51,36.21,10.6,0.79,30.36,50.98,8.67,0.0,17470,203.1
2026-06-16 07:00:00,51.26,90.43,29.66,12.11,0.77,30.57,54.96,9.28,0.08,18608,182.8
2026-06-16 08:00:00,60.9,111.54,48.08,13.25,1.04,30.76,54.43,5.99,0.0,25567,252.3
2026-06-16 09:00:00,51.05,111.86,43.33,9.79,0.96,28.08,63.62,8.1,2.92,26454,212.7
2026-06-16 10:00:00,39.05,72.08,34.8,10.78,0.78,25.77,63.58,8.85,0.44,18580,159.0
2026-06-16 11:00:00,37.16,73.21,32.54,11.92,0.91,25.62,69.43,7.6,0.0,17777,161.2
2026-06-16 12:00:00,37.45,98.24,31.54,13.26,0.75,25.79,69.55,7.87,0.26,16648,169.2
2026-06-16 13:00:00,42.5,79.16,30.32,10.08,0.81,26.07,70.07,7.91,0.56,17083,163.1
2026-06-16 14:00:00,41.1,79.12,37.32,12.64,0.89,24.22,66.33,6.91,1.79,19828,173.1
2026-06-16 15:00:00,39.37,79.66,38.38,10.34,0.75,24.94,68.41,8.0,0.15,20413,172.4
2026-06-16 16:00:00,48.11,83.97,35.93,8.92,0.8,23.66,64.74,7.3,0.0,18472,184.9
2026-06-16 17:00:00,47.71,103.14,42.55,11.51,1.08,26.11,70.5,6.38,0.0,28282,223.4
2026-06-16 18:00:00,57.21,106.24,40.75,12.14,1.03,29.52,69.63,5.82,0.04,26686,236.1
2026-06-16 19:00:00,54.98,109.62,47.62,10.91,0.98,25.13,60.62,5.65,0.0,24951,239.2
2026-06-16 20:00:00,47.53,79.7,29.6,15.19,0.72,27.68,63.51,10.32,0.0,16772,168.2
2026-06-16 21:00:00,51.78,106.69,31.04,11.63,0.85,30.82,53.77,7.89,0.0,17484,197.5
2026-06-16 22:00:00,50.67,98.63,32.33,12.71,0.86,31.69,53.06,8.04,0.3,17666,192.5
2026-06-16 23:00:00,55.24,98.39,40.28,14.36,0.82,31.62,46.18,8.95,0.54,16989,204.9
